date,1. open,2. high,3. low,4. close,5. volume
2026-01-08,86.22,86.56,84.6836,85.65,2137986.0
2026-01-07,86.06,86.88,84.28,86.63,3074680.0
2026-01-06,86.18,87.2498,85.13,85.76,3186178.0
2026-01-05,83.55,86.78,83.45,86.53,3065199.0
2026-01-02,86.28,86.39,82.06,83.32,2841761.0
2025-12-31,86.0,86.83,85.925,86.29,1651138.0
2025-12-30,85.97,86.43,85.771,86.3,1732154.0
2025-12-29,87.64,88.39,86.11,86.33,1917355.0
2025-12-26,87.45,88.09,87.44,88.04,1188929.0
2025-12-24,86.83,87.89,86.58,87.79,1036412.0
2025-12-23,89.38,89.97,86.82,87.16,2149287.0
2025-12-22,89.8,90.885,89.6501,89.99,2303325.0
2025-12-19,89.36,90.105,88.829,89.82,3242210.0
2025-12-18,88.72,89.98,88.7,89.38,2268366.0
2025-12-17,88.61,90.645,88.44,88.75,2338957.0
2025-12-16,86.3,88.045,86.28,87.91,2600194.0
2025-12-15,89.3,89.36,86.295,86.54,2896784.0
2025-12-12,90.36,91.425,88.51,89.52,2589027.0
2025-12-11,88.04,90.62,87.92,90.24,2951120.0
2025-12-10,87.84,89.2479,87.69,88.05,2409035.0
2025-12-09,89.14,89.24,87.26,87.63,2531063.0
2025-12-08,88.0,89.58,86.56,89.09,2959855.0
2025-12-05,86.68,88.505,86.56,87.65,2255296.0
2025-12-04,85.885,86.61,85.265,86.58,1728693.0
2025-12-03,84.15,86.17,83.99,85.64,1989322.0
